iter	Passed	Remaining
0	1	1078
1	1	708
2	1	621
3	2	549
4	2	516
5	2	482
6	3	461
7	3	440
8	3	425
9	4	411
10	4	414
11	5	418
12	5	407
13	5	403
14	6	403
15	6	398
16	6	392
17	7	387
18	7	384
19	7	380
20	8	382
21	8	377
22	8	373
23	9	373
24	9	371
25	9	368
26	10	365
27	10	362
28	10	358
29	11	358
30	11	356
31	11	354
32	12	352
33	12	350
34	12	351
35	13	350
36	13	354
37	14	355
38	14	355
39	14	354
40	15	357
41	15	358
42	16	358
43	16	357
44	16	355
45	17	353
46	17	353
47	17	352
48	18	353
49	18	354
50	19	354
51	19	352
52	19	351
53	19	349
54	20	348
55	20	348
56	21	348
57	21	347
58	21	347
59	22	347
60	22	348
61	22	346
62	23	346
63	23	344
64	23	343
65	24	344
66	24	344
67	25	344
68	25	344
69	25	343
70	26	342
71	26	342
72	26	341
73	27	343
74	27	343
75	28	342
76	28	341
77	28	341
78	29	341
79	29	340
80	29	340
81	30	339
82	30	335
83	30	334
84	30	333
85	31	333
86	31	333
87	32	333
88	32	333
89	32	333
90	33	332
91	33	332
92	34	333
93	34	333
94	34	333
95	35	333
96	35	333
97	36	333
98	36	332
99	36	332
100	37	332
101	37	332
102	38	332
103	38	332
104	38	331
105	39	330
106	39	330
107	39	329
108	40	329
109	40	328
110	40	327
111	41	327
112	41	327
113	42	327
114	42	327
115	43	328
116	43	326
117	43	326
118	44	326
119	44	325
120	44	324
121	44	323
122	45	322
123	45	321
124	45	320
125	46	320
126	46	319
127	46	319
128	47	319
129	47	319
130	47	318
131	48	317
132	48	317
133	48	316
134	49	316
135	49	316
136	50	315
137	50	315
138	50	314
139	51	314
140	51	314
141	51	312
142	52	312
143	52	312
144	53	312
145	53	313
146	53	313
147	54	312
148	54	312
149	55	312
150	55	311
151	55	311
152	56	310
153	56	310
154	56	310
155	57	310
156	57	310
157	58	309
158	58	309
159	58	309
160	59	308
161	59	307
162	59	307
163	60	307
164	60	306
165	60	305
166	61	305
167	61	304
168	61	304
169	62	303
170	62	302
171	62	302
172	63	301
173	63	301
174	63	300
175	64	300
176	64	300
177	64	299
178	65	299
179	65	299
180	66	298
181	66	299
182	66	298
183	67	298
184	67	298
185	68	297
186	68	297
187	68	297
188	69	297
189	69	296
190	69	296
191	70	296
192	70	295
193	71	295
194	71	295
195	71	294
196	72	294
197	72	294
198	72	293
199	73	292
200	73	292
201	73	291
202	74	291
203	74	292
204	75	291
205	75	291
206	76	291
207	76	291
208	76	290
209	77	290
210	77	290
211	77	289
212	78	289
213	78	289
214	79	289
215	79	288
216	79	288
217	80	288
218	80	287
219	81	287
220	81	286
221	81	286
222	82	285
223	82	285
224	82	285
225	83	284
226	83	284
227	83	284
228	84	283
229	84	283
230	85	283
231	85	282
232	85	282
233	86	282
234	86	281
235	86	281
236	87	281
237	87	280
238	88	280
239	88	279
240	88	279
241	89	278
242	89	278
243	89	278
244	90	277
245	90	277
246	90	277
247	91	276
248	91	276
249	92	276
250	92	276
251	92	275
252	93	276
253	93	275
254	94	275
255	94	274
256	95	274
257	95	274
258	95	274
259	96	273
260	96	273
261	96	272
262	97	272
263	97	272
264	98	272
265	98	271
266	98	271
267	99	270
268	99	270
269	99	269
270	100	269
271	100	269
272	101	269
273	101	269
274	101	268
275	102	268
276	102	267
277	102	267
278	103	266
279	103	266
280	104	266
281	104	265
282	104	265
283	105	265
284	105	264
285	105	264
286	106	264
287	106	263
288	107	263
289	107	263
290	107	262
291	108	262
292	108	261
293	108	261
294	109	261
295	109	260
296	109	260
297	110	259
298	110	259
299	111	259
300	111	258
301	111	258
302	112	258
303	112	258
304	113	257
305	113	257
306	113	257
307	114	256
308	114	256
309	115	256
310	115	256
311	116	255
312	116	255
313	116	254
314	116	254
315	117	253
316	117	253
317	118	253
318	118	252
319	118	252
320	119	252
321	119	251
322	119	251
323	120	250
324	120	250
325	120	250
326	121	249
327	121	249
328	121	248
329	122	248
330	122	247
331	123	247
332	123	247
333	123	246
334	124	246
335	124	246
336	124	245
337	125	245
338	125	245
339	126	244
340	126	244
341	126	243
342	127	243
343	127	243
344	127	242
345	128	242
346	128	242
347	129	241
348	129	241
349	129	240
350	130	240
351	130	240
352	130	239
353	131	239
354	131	239
355	131	238
356	132	238
357	132	237
358	132	237
359	133	236
360	133	236
361	133	235
362	134	235
363	134	234
364	134	234
365	135	234
366	135	233
367	135	233
